timestep,ds_p_MW_0,ds_p_MW_1,ds_p_MW_2,lec1_p_MW_0,lec1_pmax_MW_0,lec_inv_1_pmax_MW_0,lec2_p_MW_0,lec2_pmax_MW_0,lec_inv_2_pmax_MW_0
0,0.28039183860476263,0.3183120663254825,0.2670126441493096,0.06495611195513833,0.0,0.0,0.06028720029890141,0.0,0.0
1,0.2851597198422622,0.35116405633976877,0.35653950782711974,0.05650245685769343,0.0,0.0,0.05736373325758518,0.0,0.0
2,0.2619537559915918,0.34335459145313196,0.34287329687389523,0.06207833815438107,0.0,0.0,0.06591556520478208,0.0,0.0
3,0.28685174377137923,0.3057414763276795,0.34510304350977894,0.05827237776091229,0.0,0.0,0.06840286498375736,0.0,0.0
4,0.3055774181974795,0.34824582775482993,0.321056073909391,0.05254783081782333,0.0,0.0,0.07622993559700193,0.0,0.0
5,0.29913190847091603,0.37491246604904815,0.3520976151779067,0.07427179716313247,0.0,0.0,0.06029336518234216,0.0,0.0
6,0.3376575102575241,0.35592022220296526,0.35122620937460514,0.06211387119963515,0.0,0.0,0.06915731704975372,0.0,0.0
7,0.3231431001447715,0.39453611045481285,0.34373789956801,0.05093884687608166,0.0,0.0,0.06466427679925116,0.0,0.0
8,0.2668814898253795,0.283465523106481,0.3420883520374514,0.06066084255194722,0.0,0.0,0.07364256789141857,0.0,0.0
9,0.3239647902748003,0.3119119679741567,0.3369869047785446,0.06265206323652925,0.0,0.0,0.06927595965075592,0.0,0.0
10,0.29228351079497844,0.2858373529296096,0.3888488707434239,0.05550488256546549,0.0,0.0,0.07196022936803566,0.0,0.0
11,0.26872544904529044,0.2918582752291165,0.287237463999046,0.06987017179444176,0.0,0.0,0.06564750123407805,0.0,0.0
12,0.2902200453142139,0.3170765460961486,0.33539903842655305,0.05892631924174205,0.0,0.0,0.061700153495446546,0.0,0.0
13,0.35175648684397354,0.32430052428917455,0.3496872529982442,0.054191809808183306,0.0,0.0,0.06647749238157957,0.0,0.0
14,0.27204769523052885,0.32241946201407573,0.30854739090325456,0.06925439173548029,0.0,0.0,0.06475519844004486,0.0,0.0
15,0.304319163059714,0.31958820082253325,0.35738603110202877,0.0722555256060086,0.0,0.0,0.08000000000000002,0.0,0.0
16,0.30085359971636755,0.30066252686352474,0.30537974265828943,0.06799459183488694,0.0,0.0,0.06043232917281167,0.0,0.0
17,0.3205273521072153,0.3522706016449363,0.3527870237016561,0.06278667271268316,0.03189653899346685,0.03189653899346685,0.06669243348691833,0.03189653899346685,0.03189653899346685
18,0.30636898673218066,0.3195387403139388,0.3787053721210689,0.05710390879856749,0.03369159280952209,0.03369159280952209,0.071752745164589,0.03369159280952209,0.03369159280952209
19,0.3087675576745245,0.34376219806947717,0.29995032622598655,0.06640822335036006,0.043575880003163765,0.043575880003163765,0.06636297103579741,0.043575880003163765,0.043575880003163765
20,0.2713860088713637,0.33975424068251237,0.4,0.06992634761287324,0.05259407955904803,0.05259407955904803,0.05413796216140569,0.05259407955904803,0.05259407955904803
21,0.3238496173160497,0.30984925255379836,0.30875785256248445,0.06011525941949074,0.03894567486871077,0.03894567486871077,0.07233065623533881,0.03894567486871077,0.03894567486871077
22,0.3256107850149906,0.27332282094760785,0.3353345743750159,0.06050113081225229,0.04178906143278348,0.04178906143278348,0.0709962433458372,0.04178906143278348,0.04178906143278348
23,0.32645973764425573,0.3122998351526523,0.30667262263880035,0.06985698429901659,0.05827894805867976,0.05827894805867976,0.0717009551167195,0.05827894805867976,0.05827894805867976
24,0.30884660802690045,0.3320256398778377,0.3358773787892055,0.0578076720589635,0.03641025224035079,0.03641025224035079,0.06338586613118692,0.03641025224035079,0.03641025224035079
25,0.28306712504918197,0.33583050204318443,0.3487687910994692,0.06809768839579246,0.07376006925854792,0.07376006925854792,0.0711403953885136,0.07376006925854792,0.07376006925854792
26,0.31831560458499125,0.3283063691321686,0.35266568694424033,0.06218855996132521,0.06569827521189178,0.06569827521189178,0.0740128532576924,0.06569827521189178,0.06569827521189178
27,0.2750570567370322,0.24505911121063667,0.3380913698262481,0.06559576480719949,0.07400985028161865,0.07400985028161865,0.06626549665559797,0.07400985028161865,0.07400985028161865
