timestep,ds_p_MW_0,ds_p_MW_1,ds_p_MW_2,lec1_p_MW_0,lec1_pmax_MW_0,lec_inv_1_pmax_MW_0,lec2_p_MW_0,lec2_pmax_MW_0,lec_inv_2_pmax_MW_0
0,0.29304193143159374,0.4,0.30589434219126566,0.058267111764727764,0.0,0.0,0.05636251799371602,0.0,0.0
1,0.35863548324884253,0.30950143552734555,0.32191471687945905,0.07771663454316179,0.0,0.0,0.06556933873677241,0.0,0.0
2,0.29572960690741507,0.32807908037328415,0.2839072108501238,0.063912646487131,0.0,0.0,0.062296127315464626,0.0,0.0
3,0.2711032863833182,0.33189249113788893,0.2690027831901098,0.0683182659550826,0.0,0.0,0.06387415185367001,0.0,0.0
4,0.318234178094751,0.3793853590841246,0.30806962830953727,0.06864107025845981,0.0,0.0,0.06163017109006286,0.0,0.0
5,0.33282998410194237,0.3449060635938577,0.34352754506918276,0.06647902734443112,0.0,0.0,0.06519064291953157,0.0,0.0
6,0.302908368676186,0.35490016198800717,0.30110063258444086,0.06666523682532532,0.0,0.0,0.04919579714247769,0.0,0.0
7,0.3160116634116983,0.35270187865536656,0.28305252141024667,0.07705362326713162,0.0,0.0,0.06803425230236099,0.0,0.0
8,0.28544366395846366,0.23944521564294888,0.3452348460039901,0.06602473057407073,0.0,0.0,0.059566915795237284,0.0,0.0
9,0.3171884685525693,0.32628823073646984,0.29309747449414275,0.06417564287262051,0.0,0.0,0.061590364076390736,0.0,0.0
10,0.3232956988663246,0.399197828671434,0.2981228261947893,0.06733996158089466,0.0,0.0,0.06783546485722407,0.0,0.0
11,0.3410643685725151,0.28886435012567263,0.30817504951548375,0.07121552157019845,0.0,0.0,0.060278171854696305,0.0,0.0
12,0.33377452109358896,0.32196648922579374,0.2938778645439552,0.06427449487638762,0.0,0.0,0.05733595411790192,0.0,0.0
13,0.32925204196758256,0.3319443889845638,0.27661380941988545,0.06096803928654008,0.0,0.0,0.06276750332614954,0.0,0.0
14,0.31340632814345987,0.2799171551218665,0.3123316043877415,0.06737643353892239,0.0,0.0,0.06392721680426645,0.0,0.0
15,0.32761310728904947,0.2378618634043754,0.2991780632523024,0.07119496140041455,0.0,0.0,0.04917098070944572,0.0,0.0
16,0.3362519305221837,0.3641681518615883,0.29368130356754585,0.06371312558816711,0.0,0.0,0.06261672609411094,0.0,0.0
17,0.3388371647878462,0.2932248271184416,0.3352125277644611,0.07736418225266266,0.03180972605036808,0.03180972605036808,0.06437076278570934,0.03180972605036808,0.03180972605036808
18,0.32928288468861494,0.3956067725862002,0.3304676058117207,0.06766825291244054,0.03360586273168086,0.03360586273168086,0.06829404096283731,0.03360586273168086,0.03360586273168086
19,0.30773147523782773,0.3247811027023985,0.34028588069129273,0.07140660400213263,0.04347246650333563,0.04347246650333563,0.06288956688086204,0.04347246650333563,0.04347246650333563
20,0.3410871941763484,0.3764274705282087,0.31240658586404607,0.07056973774898413,0.052477973316023815,0.052477973316023815,0.07385117975057241,0.052477973316023815,0.052477973316023815
21,0.317654212768037,0.3026760244559425,0.35269433135701467,0.06301557848899939,0.03886592249947424,0.03886592249947424,0.0629824261005403,0.03886592249947424,0.03886592249947424
22,0.3464287321386001,0.3200214073257097,0.33834182129956697,0.07416664922326796,0.041709922752022136,0.041709922752022136,0.059859590812819594,0.041709922752022136,0.041709922752022136
23,0.3238841594888676,0.3148958337753719,0.3341900305037444,0.07025766888406483,0.05817722008550891,0.05817722008550891,0.06299092530621592,0.05817722008550891,0.05817722008550891
24,0.28494204952571794,0.3148380876891004,0.3105306793628768,0.06608667388860935,0.036351883046279496,0.036351883046279496,0.0678642469701415,0.036351883046279496,0.036351883046279496
25,0.2720690020817943,0.3331639859172722,0.2721265597703751,0.06889227545147654,0.07365190345714308,0.07365190345714308,0.06273872188245821,0.07365190345714308,0.07365190345714308
26,0.3319913452633376,0.3517232847987246,0.30326253496157113,0.07420116717591574,0.06561052802145609,0.06561052802145609,0.06640194540891262,0.06561052802145609,0.06561052802145609
27,0.3068087850445235,0.28581409576139544,0.38356091283996957,0.07148139330214201,0.07392025676058078,0.07392025676058078,0.07184346766923846,0.07392025676058078,0.07392025676058078
28,0.26192345584471427,0.2991820986356647,0.32500081112270895,0.072113932604163,0.06400973804555084,0.06400973804555084,0.04882961763423174,0.06400973804555084,0.06400973804555084
29,0.3213696221651424,0.34176148241418175,0.3012545600231724,0.06925306606921448,0.06991982323574145,0.06991982323574145,0.07044987435496891,0.06991982323574145,0.06991982323574145
30,0.3474797961773468,0.32466989201005575,0.362460715000964,0.061992114612207945,0.0930533086623584,0.0930533086623584,0.06439992755400283,0.0930533086623584,0.0930533086623584
31,0.29465899325564665,0.3514396490993729,0.324638213706786,0.06223999896827896,0.09644523621353229,0.09644523621353229,0.056225014315247526,0.09644523621353229,0.09644523621353229
32,0.39275808583065885,0.3399673652143127,0.33776755430772304,0.0638853524688322,0.13808436399070095,0.13808436399070095,0.060486816845550094,0.13808436399070095,0.13808436399070095
33,0.3243189204686844,0.2656625510814175,0.2866196822376438,0.06402601815829818,0.16481339576806028,0.16481339576806028,0.07345113817610245,0.16481339576806028,0.16481339576806028
34,0.3516081145385599,0.30915544828250696,0.2844224798156074,0.0681370623889736,0.1459687961997274,0.1459687961997274,0.05844052603139181,0.1459687961997274,0.1459687961997274
35,0.37432766914987914,0.3482918267274887,0.34260386386150654,0.07851734031653917,0.14464778618869056,0.14464778618869056,0.05363994343258587,0.14464778618869056,0.14464778618869056
