timestep,ds_p_MW_0,ds_p_MW_1,ds_p_MW_2,lec1_p_MW_0,lec1_pmax_MW_0,lec_inv_1_pmax_MW_0,lec2_p_MW_0,lec2_pmax_MW_0,lec_inv_2_pmax_MW_0
0,0.25769347353252725,0.32075235855723055,0.3128979028330513,0.051347488393544465,0.0,0.0,0.06000763859933015,0.0,0.0
1,0.308588687611305,0.3376211196612049,0.30505603357902017,0.06406400501409291,0.0,0.0,0.06821614549485797,0.0,0.0
2,0.3135203963780971,0.35918433435479125,0.333245879343209,0.07082481579014553,0.0,0.0,0.05149578942821317,0.0,0.0
3,0.30354491023452074,0.32965357981885474,0.33936507025680857,0.06781808637656653,0.0,0.0,0.07452636091802983,0.0,0.0
4,0.3764049461299346,0.3645134147545981,0.317688446915311,0.07258356998151327,0.0,0.0,0.06013248074780985,0.0,0.0
5,0.3115693628279868,0.2803534508448683,0.34924815387724295,0.06234818771713406,0.0,0.0,0.07181831510333282,0.0,0.0
6,0.3504956369269621,0.3361021849257641,0.30312242309311244,0.06230512694443401,0.0,0.0,0.054049872378935784,0.0,0.0
7,0.3357540933698227,0.32759990664879385,0.36124310561259876,0.06730151961491322,0.0,0.0,0.06620538017328499,0.0,0.0
8,0.3007585993562253,0.35907656583200176,0.3386656646493139,0.05412995161539961,0.0,0.0,0.06322018832511968,0.0,0.0
9,0.3204802574997656,0.32913138298416017,0.30752423976889953,0.06817839158417031,0.0,0.0,0.06772689212112125,0.0,0.0
10,0.2944078799441479,0.290594976288602,0.3243911204981868,0.059787266510256724,0.0,0.0,0.05397736488454097,0.0,0.0
11,0.3738369191115667,0.36731277094353276,0.3075880770244357,0.08000000000000002,0.0,0.0,0.06742782833201082,0.0,0.0
12,0.2852828180478901,0.3860626934201883,0.3611044570838306,0.058335675384363496,0.0,0.0,0.061021030375637955,0.0,0.0
13,0.34126677863166477,0.288534762646501,0.34274133112698557,0.07187010940370854,0.0,0.0,0.06372784073976495,0.0,0.0
14,0.28363560913644864,0.3112600092932565,0.35259802840895904,0.06102755882902423,0.0,0.0,0.04687152419577072,0.0,0.0
15,0.3438331901158984,0.33306772098648363,0.301695899161794,0.06591480957639385,0.0,0.0,0.05781346959202273,0.0,0.0
16,0.32826101430319166,0.30916992649985314,0.31729343621639844,0.06715580756103018,0.0,0.0,0.07071518882726463,0.0,0.0
17,0.32429918119672707,0.3000672302493389,0.32959343426311966,0.06494175914540395,0.03189653899346685,0.03189653899346685,0.06630630418497767,0.03189653899346685,0.03189653899346685
18,0.31622217722722734,0.39682203887289075,0.3229807571432998,0.06507017656083487,0.03369159280952209,0.03369159280952209,0.0584965882994665,0.03369159280952209,0.03369159280952209
