time,ds_p_MW0,ds_q_MVAr0,ds_p_MW1,ds_q_MVAr1,ds_p_MW2,ds_q_MVAr2,lec1_p_MW0,lec1_q_MVAr0,lec1_p_MW0,lec2_p_MW0,lec2_q_MVAr0,lec2_p_MW0
2023-01-23 00:00:00,0.3159809542456769,,0.3397201111934282,,0.29592958756422444,,0.0,,0.0,0.0,,0.0
2023-01-23 01:00:00,0.32733077087674506,,0.334478502366409,,0.2993598219025599,,0.0,,0.0,0.0,,0.0
2023-01-23 02:00:00,0.3703321757581073,,0.2674905234414947,,0.3216711928800977,,0.0,,0.0,0.0,,0.0
2023-01-23 03:00:00,0.3308988394427072,,0.27122116474836233,,0.26076025911068607,,0.0,,0.0,0.0,,0.0
2023-01-23 04:00:00,0.3634632756599576,,0.36190131871034453,,0.34635741244276014,,0.0,,0.0,0.0,,0.0
2023-01-23 05:00:00,0.3281868143612868,,0.344953191571439,,0.3891978589939153,,0.04084605978055845,,0.04084605978055845,0.04084605978055845,,0.04084605978055845
2023-01-23 06:00:00,0.35088961467610136,,0.3499436130268417,,0.37296206605987736,,0.04546123447422599,,0.04546123447422599,0.04546123447422599,,0.04546123447422599
2023-01-23 07:00:00,0.3402890379990239,,0.32508304921155584,,0.3466829437444834,,0.08269458839565716,,0.08269458839565716,0.08269458839565716,,0.08269458839565716
2023-01-23 08:00:00,0.37382315492172447,,0.2838105447395524,,0.28924462631102416,,0.12714376108803074,,0.12714376108803074,0.12714376108803074,,0.12714376108803074
2023-01-23 09:00:00,0.3011508950458502,,0.3351903760593755,,0.3204729791486539,,0.18262036829251366,,0.18262036829251366,0.18262036829251366,,0.18262036829251366
2023-01-23 10:00:00,0.32606652356517074,,0.3072875979221016,,0.326683782025044,,0.2714679785680135,,0.2714679785680135,0.2714679785680135,,0.2714679785680135
2023-01-23 11:00:00,0.3312155111786045,,0.3339810318865097,,0.31112122101909656,,0.32929834011613873,,0.32929834011613873,0.32929834011613873,,0.32929834011613873
2023-01-23 12:00:00,0.3516326506753552,,0.3173919345059819,,0.3335961137226778,,0.42921596941749324,,0.42921596941749324,0.42921596941749324,,0.42921596941749324
2023-01-23 13:00:00,0.3762268392555207,,0.320945845928689,,0.3008690967297579,,0.49908301161334945,,0.49908301161334945,0.49908301161334945,,0.49908301161334945
2023-01-23 14:00:00,0.29779582274973904,,0.3066511988762087,,0.2947801662310518,,0.5,,0.5,0.5,,0.5
2023-01-23 15:00:00,0.36208982040182147,,0.31961590023078634,,0.382514560197198,,0.4653302036088041,,0.4653302036088041,0.4653302036088041,,0.4653302036088041
2023-01-23 16:00:00,0.31014636147298447,,0.3758565397972892,,0.3002872060430562,,0.37365410865692805,,0.37365410865692805,0.37365410865692805,,0.37365410865692805
2023-01-23 17:00:00,0.3489746288519303,,0.3186332357138888,,0.33670800099021586,,0.3064742056455268,,0.3064742056455268,0.3064742056455268,,0.3064742056455268
2023-01-23 18:00:00,0.4,,0.2953455732212524,,0.29463074113129867,,0.20957766859367527,,0.20957766859367527,0.20957766859367527,,0.20957766859367527
2023-01-23 19:00:00,0.3501130536005009,,0.32156944777645036,,0.3419798226980499,,0.13904074745554063,,0.13904074745554063,0.13904074745554063,,0.13904074745554063
2023-01-23 20:00:00,0.3424537982193901,,0.37563257240964393,,0.3683247319105855,,0.0,,0.0,0.0,,0.0
2023-01-23 21:00:00,0.3777644743918673,,0.4,,0.4,,0.0,,0.0,0.0,,0.0
2023-01-23 22:00:00,0.3741286560036463,,0.29422078495146464,,0.31408813114094886,,0.0,,0.0,0.0,,0.0
2023-01-23 23:00:00,0.33698220457948247,,0.37135291854305535,,0.24826651081552664,,0.0,,0.0,0.0,,0.0
