timestep,ds_p_MW_0,ds_p_MW_1,ds_p_MW_2,lec1_p_MW_0,lec1_pmax_MW_0,lec_inv_1_pmax_MW_0,lec2_p_MW_0,lec2_pmax_MW_0,lec_inv_2_pmax_MW_0
0,0.3358200444388219,0.3610632937198297,0.3859030006181148,0.06980844132018355,0.0,0.0,0.06248459315694655,0.0,0.0
1,0.3032189142845812,0.37571317244840613,0.2913156832807523,0.07147226353447211,0.0,0.0,0.06746576527978013,0.0,0.0
2,0.2920158897530306,0.2931971406781417,0.32756461018480365,0.0623433338597075,0.0,0.0,0.05574307592895064,0.0,0.0
3,0.35988779469852994,0.3321991427872506,0.28393770777667976,0.07444832681001398,0.0,0.0,0.06368369679471754,0.0,0.0
4,0.3364278652397767,0.34242182424180484,0.28265129176483733,0.07260665679546036,0.0,0.0,0.0658694599827791,0.0,0.0
5,0.36623306408981127,0.36495381795279846,0.2840617389029058,0.06151373839483534,0.0,0.0,0.06361309619864192,0.0,0.0
6,0.4,0.3523259200336781,0.4,0.07126785700888101,0.0,0.0,0.061054419752368076,0.0,0.0
7,0.30375925105535484,0.28847316770008874,0.3562834218681114,0.061668632652164,0.0,0.0,0.06601546533078986,0.0,0.0
8,0.33103787376388305,0.34714400078642105,0.3355469374529742,0.06589756506035556,0.0,0.0,0.06954205317103283,0.0,0.0
9,0.3219714258914586,0.27404981844439463,0.3678739190169424,0.06544896235564487,0.0,0.0,0.06785932535846617,0.0,0.0
10,0.291169190559224,0.3192812510124631,0.33138400281475855,0.06087917630888011,0.0,0.0,0.06502970644520459,0.0,0.0
11,0.3346271905567221,0.3481485370604523,0.31882463116644466,0.06626623990437323,0.0,0.0,0.06415725538158243,0.0,0.0
12,0.3068214868711513,0.308145455849269,0.35610731226481374,0.06646988330264574,0.0,0.0,0.07664745246640171,0.0,0.0
13,0.3763662880797118,0.30158411619723013,0.35110739643652994,0.06339787207215312,0.0,0.0,0.05941241434122061,0.0,0.0
14,0.3696480636012094,0.39174204049103517,0.3282603031699449,0.08000000000000002,0.0,0.0,0.06230048173206051,0.0,0.0
15,0.32119598418072803,0.31194476912128777,0.3032633233450337,0.0766196838099442,0.0,0.0,0.0752296687631126,0.0,0.0
16,0.2821174726863553,0.374575671771643,0.31755199806339496,0.05347191080956796,0.0,0.0,0.06545009162326328,0.0,0.0
